algorithm,trunc_bits,repetition,seed_attempt,seed_state_hex,found,rho_meet_steps,mu,lambda,collision_index,hash_evaluations,expected_collision_steps,log2_collision_index,ratio_to_expected,seconds,input_a_hex,input_b_hex,collision_trunc_hex
SHA-3-256,24,6,0,0x1eed62,yes,6826,1243,6826,8069,39102,5133.5747,12.978174,1.57180921,0.046209,da5fd79b7c30992828b65c0000000000,da5fd79b7c309928acb32a0000000000,0xc54686
SHA-3-256,24,47,0,0x8fcd71,yes,5150,4974,2575,7549,40496,5133.5747,12.882070,1.47051527,0.046696,fe8dcd68bd5ee526c2ebd30000000000,fe8dcd68bd5ee5260198e70000000000,0x8a4ec1
SHA-3-256,24,25,0,0x2b9daf,yes,9308,1088,9308,10396,50892,5133.5747,13.343741,2.02509958,0.050558,53b7526715dd7984ba07510000000000,53b7526715dd7984ea43600000000000,0x49de3e
SHA-3-256,24,32,0,0xed70d6,yes,6498,6330,1083,7413,46980,5133.5747,12.855842,1.44402301,0.051652,665db64fb265eadfda7e5d0000000000,665db64fb265eadff989d90000000000,0x89ebcd
SHA-3-256,24,20,0,0xc3150c,yes,10052,8748,2513,11261,70174,5133.5747,13.459047,2.19359815,0.052176,b22aef30b503e5a2a194c50000000000,b22aef30b503e5a2a6814d0000000000,0x0dcae9
SHA-3-256,24,49,0,0x1e08c9,yes,7760,7337,1940,9277,56508,5133.5747,13.179443,1.80712282,0.051754,21585cd3636e8f8be5f6330000000000,21585cd3636e8f8b1091910000000000,0x3ef758
SHA-3-256,32,5,0,0x0d7eb900,yes,12067,9767,12067,21834,99403,82137.1953,14.414289,0.26582354,0.068199,b50703fab5387861dc01f76000000000,b50703fab538786110431ef600000000,0x58e03aa3
SHA-3-256,32,26,0,0x95fd3161,yes,13792,7184,13792,20976,97696,82137.1953,14.356452,0.25537760,0.067317,e50a2f682914a75e17f4f0cf00000000,e50a2f682914a75e63e171f700000000,0xafcfcf43
SHA-3-256,32,7,0,0x414bde21,yes,15013,829,15013,15842,78381,82137.1953,13.951467,0.19287242,0.095418,c38aeee1023401a31525905200000000,c38aeee1023401a31a0cf42f00000000,0x7b18ae2e
SHA-3-256,32,24,0,0xb16e9707,yes,24491,9231,24491,33722,159379,82137.1953,15.041402,0.41055699,0.191931,20ec1f19e9393c3aac9311ab00000000,20ec1f19e9393c3a081415d300000000,0x975bc8ba
SHA-3-256,32,17,0,0x462c40f4,yes,22680,21961,2835,24796,161554,82137.1953,14.597820,0.30188516,0.195411,bf9f3e45c64f0f4e653623e400000000,bf9f3e45c64f0f4e5fef2bb200000000,0x089f45e9
SHA-3-256,32,45,0,0x8f0e1581,yes,34958,21768,34958,56726,261862,82137.1953,15.791723,0.69062499,0.225240,c4c72ba33b3210521de9e57b00000000,c4c72ba33b321052a85eeaca00000000,0x29bcb351
SHA-3-256,32,8,0,0x43ed61ec,yes,48200,42711,9640,52351,334724,82137.1953,15.675929,0.63736045,0.251645,3f695c36a9ee291cc104da9300000000,3f695c36a9ee291ce64b0af200000000,0xc30e5b6e
SHA-3-256,32,15,0,0x736dbf4a,yes,36869,12725,36869,49594,235245,82137.1953,15.597878,0.60379466,0.253032,0c71f5aa2e0b201c4ecc021c00000000,0c71f5aa2e0b201ce9638d3200000000,0xa576ee8e
SHA-3-256,32,18,0,0xa71f1604,yes,58919,18227,58919,77146,367503,82137.1953,16.235304,0.93923343,0.254572,0c7fecf8f474eaa706f414eb00000000,0c7fecf8f474eaa7159f55a800000000,0x9c683c41
SHA-3-256,32,4,0,0xc3d9212f,yes,52202,13971,52202,66173,316894,82137.1953,16.013955,0.80563988,0.263361,706a31a8010e57e69e30d84300000000,706a31a8010e57e669a41b1100000000,0xf2df3911
SHA-3-256,32,12,0,0xa4224754,yes,58494,40148,29247,69395,394568,82137.1953,16.082544,0.84486693,0.271477,b890618291ed6002ed833e9300000000,b890618291ed60025db0cf0d00000000,0x8d52e8d8
SHA-3-256,32,11,0,0xd7759875,yes,64301,18804,64301,83105,396721,82137.1953,16.342648,1.01178278,0.274627,1091ffaf3f91106b888acc0b00000000,1091ffaf3f91106bdfead1a900000000,0x156b19f9
SHA-3-256,32,39,0,0x627a4b5e,yes,47146,16988,47146,64134,303682,82137.1953,15.968802,0.78081556,0.279431,1967797a312321926d9efa5f00000000,1967797a3123219280fc854500000000,0xfbda0345
SHA-3-256,32,41,0,0x85df892c,yes,55464,2915,55464,58379,288980,82137.1953,15.833162,0.71074986,0.281794,03f1ef0e94f6066ac97ac31b00000000,03f1ef0e94f6066ada6633ba00000000,0xebdbf9fe
SHA-3-256,32,28,0,0xd896c609,yes,48009,603,48009,48612,242457,82137.1953,15.569025,0.59183905,0.292114,872f99ed079b1debf04dc75900000000,872f99ed079b1deb15453e8d00000000,0xf0bc8a87
SHA-3-256,32,31,0,0xa36be9d8,yes,63014,27177,63014,90191,423778,82137.1953,16.460696,1.09805308,0.293920,e29e9fec1c19ed1873bc3a6900000000,e29e9fec1c19ed182aa5b53c00000000,0xbc5fd437
SHA-3-256,32,14,0,0x0c7303be,yes,62393,34380,62393,96773,449485,82137.1953,16.562317,1.17818730,0.309464,4e6457c017696256b92fd4c000000000,4e6457c0176962569373719200000000,0x4e5972f0
SHA-3-256,32,0,0,0xa86c41f7,yes,65902,47670,32951,80621,454288,82137.1953,16.298868,0.98154070,0.311693,d7bee8631c824966db85de6f00000000,d7bee8631c824966c9ce47b400000000,0x8b30611c
SHA-3-256,32,23,0,0x795977c0,yes,74535,49826,24845,74671,472599,82137.1953,16.188260,0.90910092,0.326284,345318fd7b7a540eb23d7f8100000000,345318fd7b7a540e7b6339ca00000000,0x48db94d9
SHA-3-256,32,10,0,0xbb9b72e0,yes,44816,31691,22408,54099,306028,82137.1953,15.723314,0.65864192,0.344096,f3af82cfec14cda56423ae0c00000000,f3af82cfec14cda5239cba8500000000,0x350b2e6f
SHA-3-256,32,22,0,0xfc11fab1,yes,87953,17855,87953,105808,511185,82137.1953,16.691089,1.28818618,0.351661,4953b17389503be3b0fef94600000000,4953b17389503be3323bd74200000000,0xb37e3776
SHA-3-256,32,13,0,0x89a95e60,yes,53940,45613,10788,56401,365848,82137.1953,15.783433,0.68666820,0.364310,83e15e0dd2445d33e569c4a900000000,83e15e0dd2445d33b16bcdf300000000,0xcde81084
SHA-3-256,32,20,0,0x86c144cd,yes,48137,28623,48137,76760,355177,82137.1953,16.228067,0.93453398,0.370979,0e255b6064a1534ce2afc2ef00000000,0e255b6064a1534cebcac1fa00000000,0xa1212639
SHA-3-256,32,29,0,0xa0961c4c,yes,88258,25565,88258,113823,543550,82137.1953,16.796433,1.38576682,0.372581,5545491aa5538129385a633100000000,5545491aa55381297427c8ca00000000,0xad9eee6c
SHA-3-256,32,35,0,0xde8a4af0,yes,50470,48795,25235,74030,397060,82137.1953,16.175822,0.90129691,0.384850,aeedd5b971f9e0b23f783d0e00000000,aeedd5b971f9e0b2c2ad07c500000000,0x9abcc6d1
SHA-3-256,32,46,0,0x73642247,yes,50805,43652,10161,53813,347345,82137.1953,15.715667,0.65515994,0.386300,8aeeeb6599b2ee1b980d451000000000,8aeeeb6599b2ee1be3bbbc3c00000000,0x77d19d37
