time_s,Voltage_V,Current_A,Capacity_Ah,Energy_Wh
1770.00000000,5.01874000,0.08174000,0.04024569,0.05058053
1775.00000000,5.02022000,0.08176000,0.04035924,0.05072307
1780.00000000,5.02089000,0.08175000,0.04047278,0.05086557
1785.00000000,5.02026000,0.08175000,0.04058633,0.05100804
1790.00000000,5.01921000,0.08175000,0.04069987,0.05115053
1795.00000000,5.01987000,0.08175000,0.04081341,0.05129300
1800.00000000,5.01893000,0.08173000,0.04092694,0.05143548
1805.00000000,5.02061000,0.08173000,0.04104045,0.05157795
1810.00000000,5.02038000,0.08174000,0.04115397,0.05172043
1815.00000000,5.02018000,0.08174000,0.04126750,0.05186290
1820.00000000,5.01983000,0.08172000,0.04138101,0.05200534
1825.00000000,5.01987000,0.08172000,0.04149451,0.05214779
1830.00000000,5.02038000,0.08174000,0.04160803,0.05229031
1835.00000000,5.02143000,0.08174000,0.04172156,0.05243280
1840.00000000,5.02046000,0.08174000,0.04183508,0.05257528
1845.00000000,5.01995000,0.08176000,0.04194863,0.05271779
1850.00000000,5.01995000,0.08177000,0.04206219,0.05286034
1855.00000000,5.02073000,0.08176000,0.04217575,0.05300287
1860.00000000,5.02077000,0.08176000,0.04228931,0.05314542
1865.00000000,5.02120000,0.08177000,0.04240287,0.05328796
1870.00000000,5.02022000,0.08173000,0.04251641,0.05343043
1875.00000000,5.02050000,0.08175000,0.04262994,0.05357295
1880.00000000,5.02100000,0.08173000,0.04274347,0.05371544
1885.00000000,5.02108000,0.08171000,0.04285697,0.05385788
1890.00000000,5.02038000,0.08174000,0.04297047,0.05400036
1895.00000000,5.02022000,0.08176000,0.04308401,0.05414288
1900.00000000,5.02030000,0.08173000,0.04319755,0.05428533
1905.00000000,5.01971000,0.08174000,0.04331107,0.05442783
1910.00000000,5.02061000,0.08174000,0.04342460,0.05457034
1915.00000000,5.02116000,0.08176000,0.04353814,0.05471284
1920.00000000,5.01960000,0.08173000,0.04365167,0.05485532
1925.00000000,5.02081000,0.08175000,0.04376520,0.05499781
1930.00000000,5.01971000,0.08175000,0.04387874,0.05514031
1935.00000000,5.02018000,0.08176000,0.04399229,0.05528282
1940.00000000,5.02007000,0.08178000,0.04410586,0.05542537
1945.00000000,5.01999000,0.08177000,0.04421944,0.05556791
1950.00000000,5.02050000,0.08177000,0.04433301,0.05571044
1955.00000000,5.01971000,0.08177000,0.04444658,0.05585301
1960.00000000,5.02147000,0.08178000,0.04456015,0.05599556
1965.00000000,5.02007000,0.08177000,0.04467373,0.05613811
1970.00000000,5.02093000,0.08177000,0.04478730,0.05628066
1975.00000000,5.02077000,0.08178000,0.04490088,0.05642322
1980.00000000,5.02042000,0.08178000,0.04501446,0.05656577
1985.00000000,5.02011000,0.08177000,0.04512803,0.05670833
1990.00000000,5.02089000,0.08178000,0.04524161,0.05685088
1995.00000000,5.01999000,0.08177000,0.04535519,0.05699342
2000.00000000,5.02046000,0.08176000,0.04546875,0.05713593
2005.00000000,5.01999000,0.08177000,0.04558231,0.05727844
2010.00000000,5.01936000,0.08175000,0.04569587,0.05742095
2015.00000000,5.02046000,0.08175000,0.04580941,0.05756342
2020.00000000,5.01921000,0.08177000,0.04592297,0.05770593
2025.00000000,5.01925000,0.08174000,0.04603651,0.05784838
2030.00000000,5.01921000,0.08176000,0.04615006,0.05799087
2035.00000000,5.01889000,0.08174000,0.04626360,0.05813335
2040.00000000,5.02030000,0.08177000,0.04637715,0.05827587
2045.00000000,5.01956000,0.08175000,0.04649070,0.05841835
2050.00000000,5.01960000,0.08180000,0.04660428,0.05856090
2055.00000000,5.01889000,0.08180000,0.04671789,0.05870349
2060.00000000,5.02018000,0.08178000,0.04683149,0.05884599
2065.00000000,5.01850000,0.08179000,0.04694508,0.05898853
2070.00000000,5.01909000,0.08179000,0.04705867,0.05913108
2075.00000000,5.01940000,0.08178000,0.04717226,0.05927362
2080.00000000,5.01975000,0.08182000,0.04728588,0.05941624
2085.00000000,5.02003000,0.08182000,0.04739951,0.05955887
2090.00000000,5.02057000,0.08180000,0.04751314,0.05970146
2095.00000000,5.02022000,0.08183000,0.04762677,0.05984410
2100.00000000,5.02038000,0.08181000,0.04774041,0.05998670
2105.00000000,5.01971000,0.08181000,0.04785403,0.06012928
2110.00000000,5.01936000,0.08182000,0.04796767,0.06027188
2115.00000000,5.01956000,0.08181000,0.04808130,0.06041448
2120.00000000,5.01995000,0.08181000,0.04819492,0.06055706
2125.00000000,5.01925000,0.08183000,0.04830856,0.06069969
2130.00000000,5.02014000,0.08183000,0.04842222,0.06084230
2135.00000000,5.01882000,0.08179000,0.04853584,0.06098484
2140.00000000,5.01929000,0.08178000,0.04864943,0.06112735
2145.00000000,5.01878000,0.08178000,0.04876301,0.06126987
2150.00000000,5.01905000,0.08178000,0.04887660,0.06141239
2155.00000000,5.01913000,0.08179000,0.04899019,0.06155494
2160.00000000,5.01944000,0.08179000,0.04910378,0.06169750
2165.00000000,5.01983000,0.08179000,0.04921738,0.06184006
2170.00000000,5.01971000,0.08180000,0.04933099,0.06198258
2175.00000000,5.01800000,0.08179000,0.04944459,0.06212513
2180.00000000,5.01948000,0.08178000,0.04955818,0.06226769
2185.00000000,5.02042000,0.08179000,0.04967177,0.06241024
2190.00000000,5.01925000,0.08178000,0.04978536,0.06255278
2195.00000000,5.01995000,0.08180000,0.04989896,0.06269536
2200.00000000,5.01987000,0.08178000,0.05001256,0.06283787
2205.00000000,5.01850000,0.08177000,0.05012613,0.06298035
2210.00000000,5.01839000,0.08179000,0.05023972,0.06312285
2215.00000000,5.01788000,0.08179000,0.05035331,0.06326540
2220.00000000,5.01921000,0.08175000,0.05046688,0.06340786
2225.00000000,5.01886000,0.08174000,0.05058042,0.06355032
2230.00000000,5.01964000,0.08175000,0.05069395,0.06369282
2235.00000000,5.01987000,0.08177000,0.05080751,0.06383533
2240.00000000,5.01929000,0.08176000,0.05092107,0.06397782
2245.00000000,5.01925000,0.08176000,0.05103463,0.06412034
